"median","Aulacoisera.","Brachysira..brebissonii","Caloneis.amphisbaena","Encyonema.latum","Encyonema.neomuelleri","Eunotia.arcus","Eunotia.diodon","Eunotia.flexuosa","Eunotia.musicola","Eunotia.naegelii","Eunotia.pectinalis","Eunotia.pirla","Frustulia..rhomboides","Pinnularia.sp.","Pinnularia.stomatophora","Pinnularia.viridiformis","Stauroneis.phoenicenteron","Stenop.terobia.intermedia","Surirella.spiralis"
740,0,6.09,0,0,0,5.77,0,0,6.09,0,0,0.32,15.71,8.97,39.1,17.63,0,0,0.32
1985,0,4.81,0,0,0,9.46,0,0,2.08,0.16,0,0,39.42,0,15.87,22.12,0,0,0
3139,0,7.55,0,0,0.36,8.27,0,0,2.88,0,0,0.36,6.12,8.63,43.53,21.94,0,0,0.36
4383,0.26,16.97,0,0,0,7.31,0,0.26,4.18,0,0,0.26,12.27,5.74,29.77,22.72,0,0,0
4667,0,54.36,0,0,0,6.73,3.27,0,2.73,0,0,0.18,8.55,7.27,6.36,10,0,0.18,0.36
4972,0,36.24,0,0,0,8.71,0,0,3.79,0,0,0,0.28,7.3,23.6,19.1,0,0,0.98
6831,0,6.42,0,0,4.28,7.49,0,0,0.53,0,0.53,2.14,0,6.42,47.59,24.6,0,0,0
7099,0,46.51,0,0,0,4.5,0,0,1.24,0,0,0,5.58,5.43,20.93,13.95,0.16,0,1.71
7305,0,0,0,0,0,0.2,0,0,0,0,0,0.61,0,1.64,93.05,2.04,0,0,0
7363,0,36.7,0,0,0,10.52,0,0,0.41,0,0,0,1.24,0,30.52,20.62,0,0,0
7563,0,9.3,0,0,0,10.3,0,0,1,0,0,0,0,26.91,27.91,22.59,1.99,0,0
7708,0,9.79,0,0,0,3.26,0,0,0.16,0,0,0,0,8.97,61.83,15.17,0.49,0,0.33
8042,0,24.19,0.54,0,3.23,11.56,0,0,1.61,0,0,0.54,0,17.74,31.18,8.33,0,0,1.08
8215,0,6.05,0,0,0,11.39,0,0,0.71,0,0,0,0,11.74,44.13,22.78,2.85,0,0.36
9138,0,0,0,0,0.89,12.22,0,0.44,2.44,0,0,0.22,0.89,18.22,24.67,38,2,0,0
9792,0,3.29,0,0,0,2.06,0,0,0,0,0,0,0,0,88.48,6.17,0,0,0
10929,0,0,0,3.3,2.2,0,0,2.2,0,0,0,3.3,0,0,56.04,20.88,10.99,0,1.1
13836,0,0,0,0,0,0,0,0,0,0,0,0,0,10.71,32.14,57.14,0,0,0
18438,0,7.45,0,0,0,0.53,0,0,0,0,0,0,0,0,87.77,4.26,0,0,0
21341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,10,45,0,0
22686,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,66.67,0,0,0
23598,0,0,0,0,1.05,0,0,0,0,0,0,3.16,0,4.21,91.58,0,0,0,0
24404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,16.67,0,0,0
28257,0,0,0,0,0,12.5,0,0,0,0,0,0,0,12.5,0,75,0,0,0
30805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
